,y
179637,safe
137020,safe
39576,close
257730,very_close
91830,close
134594,safe
147618,safe
224146,very_close
253812,very_close
271986,very_close
175816,safe
198103,safe
162785,safe
41075,close
33653,close
266035,very_close
295402,very_close
95614,close
144500,safe
247412,very_close
77954,close
125933,safe
180578,safe
120730,safe
255067,very_close
156370,safe
196825,safe
87662,close
247277,very_close
275738,very_close
122720,safe
100382,safe
275838,very_close
288951,very_close
84535,close
85296,close
43810,close
265788,very_close
184797,safe
266106,very_close
187137,safe
220740,very_close
138702,safe
173738,safe
71757,close
162651,safe
286370,very_close
293725,very_close
63398,close
262238,very_close
249333,very_close
74685,close
229932,very_close
206431,very_close
293944,very_close
257262,very_close
22941,close
97204,close
226335,very_close
210460,very_close
201474,very_close
286811,very_close
83858,close
25999,close
224074,very_close
88732,close
293958,very_close
58913,close
62567,close
129079,safe
30198,close
273900,very_close
127692,safe
94614,close
234346,very_close
184359,safe
268627,very_close
239844,very_close
142639,safe
27919,close
11540,close
189276,safe
234295,very_close
80949,close
17058,close
282498,very_close
67111,close
49310,close
53190,close
154544,safe
213117,very_close
173143,safe
146214,safe
49780,close
45285,close
19021,close
246619,very_close
129127,safe
214349,very_close
269676,very_close
107849,safe
150436,safe
188052,safe
207836,very_close
131510,safe
828,close
254183,very_close
197005,safe
84738,close
7153,close
41263,close
161748,safe
44504,close
271560,very_close
184127,safe
203856,very_close
190334,safe
275214,very_close
243171,very_close
30305,close
37532,close
231139,very_close
149591,safe
204399,very_close
98083,close
2692,close
130490,safe
195044,safe
111638,safe
209515,very_close
199737,safe
24313,close
163046,safe
40852,close
220973,very_close
83124,close
263881,very_close
74325,close
159171,safe
258340,very_close
63222,close
7335,close
181429,safe
71472,close
70688,close
120302,safe
31967,close
131837,safe
283422,very_close
154397,safe
139007,safe
147568,safe
171463,safe
264295,very_close
68592,close
106279,safe
3697,close
156925,safe
166817,safe
289011,very_close
51015,close
4140,close
117178,safe
149408,safe
784,close
264828,very_close
140614,safe
176642,safe
264513,very_close
4598,close
183088,safe
253722,very_close
281810,very_close
270371,very_close
148308,safe
253366,very_close
224776,very_close
275403,very_close
80322,close
291068,very_close
53388,close
49818,close
31054,close
234334,very_close
289270,very_close
229656,very_close
277447,very_close
160461,safe
177080,safe
147200,safe
111281,safe
262100,very_close
125246,safe
215326,very_close
149121,safe
150120,safe
224936,very_close
276906,very_close
174910,safe
3361,close
52786,close
197933,safe
104805,safe
21681,close
97770,close
168980,safe
204012,very_close
162269,safe
11578,close
128694,safe
91713,close
51291,close
192566,safe
267436,very_close
233440,very_close
121812,safe
15440,close
224262,very_close
178240,safe
29578,close
70213,close
185531,safe
23081,close
59338,close
15794,close
207608,very_close
171720,safe
62964,close
94343,close
25866,close
293470,very_close
172381,safe
219581,very_close
69279,close
78826,close
249995,very_close
282677,very_close
174560,safe
13482,close
206997,very_close
174565,safe
88108,close
251741,very_close
3035,close
281302,very_close
112173,safe
181495,safe
53590,close
108062,safe
62716,close
197992,safe
61751,close
46811,close
22851,close
178902,safe
103498,safe
124206,safe
143918,safe
160174,safe
129202,safe
145487,safe
80653,close
32906,close
159762,safe
236507,very_close
222691,very_close
29748,close
245765,very_close
228269,very_close
62528,close
20253,close
276832,very_close
214900,very_close
229829,very_close
32825,close
114175,safe
262347,very_close
116176,safe
88447,close
103003,safe
147424,safe
251036,very_close
15537,close
418,close
78991,close
132959,safe
118349,safe
233260,very_close
145315,safe
232609,very_close
83051,close
63376,close
125382,safe
19756,close
72174,close
105818,safe
89968,close
33961,close
247940,very_close
189471,safe
56557,close
58801,close
102184,safe
198893,safe
210201,very_close
122401,safe
141116,safe
267601,very_close
106017,safe
57681,close
279641,very_close
258685,very_close
5894,close
226166,very_close
145756,safe
42034,close
10840,close
258530,very_close
252963,very_close
149375,safe
217326,very_close
273637,very_close
90521,close
7528,close
24953,close
32593,close
213741,very_close
239588,very_close
255964,very_close
51633,close
41301,close
67397,close
100499,safe
275669,very_close
111016,safe
248294,very_close
220011,very_close
91976,close
133714,safe
13909,close
5562,close
164137,safe
165784,safe
160235,safe
159739,safe
208587,very_close
136505,safe
36352,close
185522,safe
266987,very_close
236561,very_close
113259,safe
123259,safe
215570,very_close
288886,very_close
52539,close
40684,close
229042,very_close
219238,very_close
269742,very_close
78227,close
124583,safe
146468,safe
193551,safe
93603,close
81650,close
133907,safe
26053,close
77284,close
209347,very_close
114369,safe
292926,very_close
125575,safe
104280,safe
232466,very_close
96187,close
167132,safe
86941,close
283078,very_close
53199,close
77107,close
25643,close
95861,close
260214,very_close
154446,safe
211672,very_close
49243,close
158159,safe
218750,very_close
204285,very_close
254000,very_close
171157,safe
118430,safe
133916,safe
233341,very_close
177097,safe
99358,close
94830,close
68036,close
44073,close
143208,safe
193819,safe
295275,very_close
179497,safe
184915,safe
147714,safe
145560,safe
260260,very_close
202148,very_close
126719,safe
209034,very_close
127904,safe
252437,very_close
253903,very_close
163085,safe
58678,close
43658,close
214252,very_close
169593,safe
207769,very_close
204254,very_close
165826,safe
265509,very_close
150640,safe
102047,safe
33253,close
85630,close
214883,very_close
233839,very_close
131255,safe
273275,very_close
115084,safe
210694,very_close
58894,close
108443,safe
281904,very_close
121935,safe
48507,close
63706,close
222708,very_close
128965,safe
104721,safe
278697,very_close
207543,very_close
5625,close
279152,very_close
277072,very_close
215064,very_close
102549,safe
203097,very_close
176427,safe
14036,close
12395,close
266108,very_close
189806,safe
223115,very_close
291244,very_close
282979,very_close
2823,close
247838,very_close
166390,safe
154502,safe
179904,safe
146603,safe
95267,close
62913,close
240212,very_close
66346,close
96648,close
250116,very_close
242744,very_close
99952,close
164785,safe
272476,very_close
56681,close
287523,very_close
175795,safe
191164,safe
82592,close
169768,safe
131599,safe
9219,close
92924,close
137152,safe
93811,close
193051,safe
250404,very_close
151414,safe
219714,very_close
280329,very_close
66207,close
227061,very_close
273288,very_close
120490,safe
181474,safe
153055,safe
153308,safe
297211,very_close
204884,very_close
177028,safe
265656,very_close
19976,close
118171,safe
184866,safe
5036,close
5266,close
152126,safe
247828,very_close
245897,very_close
216326,very_close
70621,close
258087,very_close
27165,close
33144,close
241199,very_close
191694,safe
37026,close
223294,very_close
284030,very_close
276683,very_close
130911,safe
191369,safe
165253,safe
252379,very_close
116563,safe
178487,safe
34061,close
82100,close
97259,close
273127,very_close
216352,very_close
171731,safe
67167,close
167047,safe
72184,close
263741,very_close
5847,close
34616,close
255989,very_close
39960,close
218096,very_close
225704,very_close
165451,safe
190454,safe
295343,very_close
250345,very_close
211023,very_close
272474,very_close
90275,close
209551,very_close
196274,safe
118497,safe
28960,close
129744,safe
40220,close
18048,close
94509,close
291875,very_close
278101,very_close
277288,very_close
72512,close
115273,safe
19913,close
53599,close
28332,close
38177,close
112621,safe
289690,very_close
137394,safe
94399,close
215663,very_close
205507,very_close
137219,safe
183323,safe
176832,safe
238019,very_close
44307,close
266582,very_close
88969,close
133863,safe
206229,very_close
251559,very_close
67018,close
263688,very_close
145555,safe
195833,safe
299041,very_close
63607,close
41154,close
78701,close
269854,very_close
119300,safe
293133,very_close
483,close
214803,very_close
38003,close
207046,very_close
79456,close
245285,very_close
203636,very_close
23463,close
278667,very_close
87186,close
106915,safe
170518,safe
237121,very_close
167055,safe
128597,safe
287960,very_close
82601,close
137232,safe
212441,very_close
5836,close
80276,close
157051,safe
216248,very_close
294307,very_close
48578,close
96032,close
270105,very_close
45675,close
130497,safe
263649,very_close
167373,safe
236364,very_close
112170,safe
101170,safe
40187,close
188361,safe
100500,safe
174866,safe
298400,very_close
200057,very_close
42298,close
211617,very_close
243485,very_close
128959,safe
207728,very_close
54591,close
189353,safe
22361,close
37090,close
75425,close
279957,very_close
59794,close
253765,very_close
267979,very_close
259092,very_close
239147,very_close
87633,close
215876,very_close
24748,close
265596,very_close
90026,close
105792,safe
289258,very_close
209148,very_close
42890,close
180319,safe
216008,very_close
33692,close
267656,very_close
190152,safe
137096,safe
227783,very_close
139306,safe
278285,very_close
273343,very_close
63746,close
28832,close
143560,safe
236323,very_close
256995,very_close
50168,close
222594,very_close
211846,very_close
16644,close
158355,safe
65225,close
81595,close
263225,very_close
8670,close
237019,very_close
294222,very_close
269118,very_close
216164,very_close
162158,safe
252961,very_close
129799,safe
85348,close
91850,close
209506,very_close
241432,very_close
76581,close
71164,close
143344,safe
132904,safe
214989,very_close
47619,close
70214,close
227378,very_close
280974,very_close
137346,safe
295727,very_close
286624,very_close
84987,close
146939,safe
100273,safe
51979,close
33278,close
243963,very_close
44292,close
266725,very_close
82700,close
67459,close
80963,close
150379,safe
61478,close
37984,close
42336,close
178553,safe
166662,safe
13325,close
151443,safe
234558,very_close
62042,close
105641,safe
10604,close
276889,very_close
160045,safe
281403,very_close
40453,close
33666,close
175235,safe
254321,very_close
298351,very_close
37521,close
78830,close
38898,close
72904,close
266286,very_close
79619,close
97479,close
299832,very_close
103654,safe
186664,safe
234619,very_close
58207,close
122361,safe
247281,very_close
223195,very_close
72247,close
256314,very_close
95333,close
234214,very_close
260759,very_close
202752,very_close
90520,close
53658,close
87069,close
59245,close
170594,safe
205017,very_close
12296,close
91157,close
114162,safe
226462,very_close
22988,close
79859,close
47228,close
219767,very_close
118992,safe
193563,safe
244172,very_close
245694,very_close
172986,safe
255884,very_close
206955,very_close
246037,very_close
285630,very_close
291103,very_close
58320,close
253330,very_close
209210,very_close
208782,very_close
117526,safe
81785,close
56544,close
290304,very_close
43974,close
268911,very_close
282923,very_close
278484,very_close
106836,safe
79867,close
170220,safe
282547,very_close
24164,close
273370,very_close
26518,close
263780,very_close
271176,very_close
20899,close
189827,safe
264766,very_close
192010,safe
75230,close
151168,safe
115920,safe
713,close
42684,close
72428,close
141201,safe
253578,very_close
251728,very_close
235394,very_close
3276,close
155071,safe
105958,safe
111938,safe
120927,safe
274368,very_close
230924,very_close
176479,safe
119613,safe
291725,very_close
130359,safe
35879,close
15756,close
255956,very_close
7605,close
193455,safe
265238,very_close
7291,close
30092,close
199220,safe
137188,safe
203058,very_close
107109,safe
150698,safe
218803,very_close
30739,close
35922,close
146261,safe
262363,very_close
77163,close
68504,close
56011,close
250546,very_close
42608,close
124258,safe
239833,very_close
266935,very_close
82039,close
25194,close
293034,very_close
235448,very_close
90680,close
85144,close
53743,close
81535,close
57790,close
28709,close
233357,very_close
113269,safe
9318,close
161461,safe
181068,safe
293880,very_close
155412,safe
20124,close
253448,very_close
16060,close
182414,safe
32164,close
210170,very_close
157976,safe
187087,safe
247986,very_close
58250,close
221763,very_close
254282,very_close
282336,very_close
233683,very_close
219474,very_close
291530,very_close
247216,very_close
6491,close
192334,safe
241634,very_close
198455,safe
33116,close
205229,very_close
254543,very_close
292898,very_close
201336,very_close
170644,safe
179753,safe
108203,safe
233556,very_close
63296,close
284277,very_close
30689,close
86920,close
258258,very_close
230216,very_close
63821,close
124645,safe
63141,close
151661,safe
149135,safe
163131,safe
10542,close
172294,safe
258901,very_close
86536,close
1856,close
9161,close
50397,close
229207,very_close
63500,close
64312,close
44403,close
138649,safe
60440,close
237947,very_close
48300,close
58718,close
163540,safe
50175,close
56637,close
181003,safe
299096,very_close
50008,close
176752,safe
73650,close
153321,safe
47608,close
235871,very_close
159620,safe
261972,very_close
271564,very_close
5007,close
78693,close
65023,close
215636,very_close
8889,close
172232,safe
41434,close
215733,very_close
157968,safe
104654,safe
144280,safe
166241,safe
68381,close
20574,close
127546,safe
255584,very_close
285077,very_close
227000,very_close
80881,close
72047,close
170221,safe
144796,safe
215290,very_close
34886,close
156693,safe
264764,very_close
283110,very_close
2349,close
229785,very_close
20061,close
73693,close
95992,close
42917,close
50915,close
174854,safe
148921,safe
256279,very_close
57678,close
184504,safe
137124,safe
5516,close
9064,close
55697,close
199149,safe
710,close
32211,close
257404,very_close
67677,close
239634,very_close
125117,safe
222863,very_close
181734,safe
290146,very_close
177640,safe
217949,very_close
19509,close
139237,safe
58880,close
114723,safe
27963,close
201569,very_close
217325,very_close
97179,close
197535,safe
224635,very_close
296226,very_close
106485,safe
46603,close
292409,very_close
283321,very_close
70086,close
219311,very_close
219799,very_close
199347,safe
179333,safe
123192,safe
36611,close
262175,very_close
63488,close
197317,safe
283128,very_close
220984,very_close
191676,safe
11417,close
3445,close
249561,very_close
117020,safe
224832,very_close
143783,safe
95082,close
78676,close
234783,very_close
245954,very_close
62336,close
273981,very_close
299935,very_close
29859,close
22680,close
78186,close
80778,close
265061,very_close
90154,close
81884,close
134654,safe
3419,close
203223,very_close
24659,close
179353,safe
279927,very_close
218474,very_close
127278,safe
178740,safe
1774,close
44670,close
231712,very_close
4064,close
123840,safe
54239,close
248174,very_close
182635,safe
160752,safe
80192,close
277762,very_close
243163,very_close
83907,close
140242,safe
248417,very_close
221805,very_close
209484,very_close
88491,close
180318,safe
174537,safe
272523,very_close
96302,close
15996,close
88325,close
191806,safe
273872,very_close
202269,very_close
166852,safe
200410,very_close
174466,safe
206416,very_close
95973,close
246422,very_close
175520,safe
173281,safe
211545,very_close
17551,close
201059,very_close
139648,safe
217711,very_close
36823,close
132797,safe
128647,safe
295451,very_close
13737,close
123508,safe
175654,safe
41660,close
287699,very_close
155057,safe
98011,close
177232,safe
4592,close
173404,safe
24027,close
68282,close
8258,close
211302,very_close
299257,very_close
110158,safe
285960,very_close
59461,close
115477,safe
263251,very_close
9246,close
258666,very_close
100324,safe
209436,very_close
115542,safe
122844,safe
273535,very_close
145291,safe
4029,close
96964,close
171990,safe
99455,close
291253,very_close
260470,very_close
132105,safe
114211,safe
186008,safe
24011,close
1531,close
123870,safe
51064,close
189900,safe
73089,close
98252,close
146898,safe
148979,safe
97848,close
84245,close
190762,safe
106474,safe
108,close
179040,safe
62732,close
212141,very_close
154749,safe
271977,very_close
218165,very_close
74197,close
117863,safe
211025,very_close
291279,very_close
296804,very_close
84780,close
197648,safe
175442,safe
267675,very_close
180504,safe
48412,close
86801,close
73842,close
176612,safe
34408,close
31438,close
179598,safe
228798,very_close
144887,safe
19384,close
197754,safe
152243,safe
75640,close
9103,close
51246,close
135185,safe
48687,close
25702,close
161386,safe
269486,very_close
17169,close
287560,very_close
137760,safe
29282,close
286407,very_close
86600,close
245371,very_close
177827,safe
224678,very_close
83528,close
113237,safe
19891,close
201642,very_close
286700,very_close
217176,very_close
256851,very_close
187476,safe
217625,very_close
214996,very_close
57377,close
67780,close
33900,close
35947,close
110868,safe
52835,close
167563,safe
186050,safe
5603,close
286409,very_close
133169,safe
263978,very_close
448,close
211823,very_close
183662,safe
40688,close
64521,close
246122,very_close
25841,close
71756,close
295485,very_close
133827,safe
203605,very_close
12348,close
54828,close
24908,close
286035,very_close
85968,close
91769,close
41533,close
88592,close
48983,close
256690,very_close
290619,very_close
72040,close
217484,very_close
162405,safe
19832,close
278077,very_close
149932,safe
125700,safe
123187,safe
161113,safe
178916,safe
183311,safe
108624,safe
106408,safe
230075,very_close
141941,safe
31588,close
291035,very_close
82875,close
208196,very_close
140134,safe
21820,close
189982,safe
74016,close
86371,close
260131,very_close
199662,safe
274763,very_close
219596,very_close
66882,close
34868,close
165158,safe
109772,safe
77628,close
55269,close
249081,very_close
242025,very_close
19393,close
34127,close
254966,very_close
27261,close
77460,close
2081,close
67320,close
180568,safe
206169,very_close
194554,safe
42324,close
79463,close
87993,close
2440,close
18446,close
61500,close
151544,safe
230393,very_close
225597,very_close
245521,very_close
244407,very_close
155373,safe
19115,close
149580,safe
75825,close
56079,close
176696,safe
253612,very_close
104209,safe
78253,close
104083,safe
281935,very_close
23357,close
165197,safe
175978,safe
20225,close
95376,close
106512,safe
8785,close
96308,close
192700,safe
29542,close
170210,safe
255241,very_close
67131,close
92147,close
62842,close
94105,close
235817,very_close
1612,close
176897,safe
252757,very_close
235924,very_close
288344,very_close
67142,close
218859,very_close
147131,safe
295083,very_close
37957,close
168867,safe
219500,very_close
144837,safe
137673,safe
186680,safe
223455,very_close
89980,close
83306,close
22929,close
256597,very_close
165809,safe
25348,close
174754,safe
163676,safe
58345,close
83841,close
259224,very_close
2699,close
188590,safe
253667,very_close
273859,very_close
90439,close
244622,very_close
84777,close
239221,very_close
253575,very_close
229979,very_close
296640,very_close
81274,close
5592,close
198104,safe
176272,safe
200960,very_close
66229,close
8085,close
35359,close
145819,safe
93127,close
19034,close
157012,safe
194501,safe
111117,safe
226934,very_close
169580,safe
31612,close
284128,very_close
128523,safe
190462,safe
273452,very_close
163105,safe
31328,close
99035,close
155015,safe
202562,very_close
278054,very_close
46338,close
175137,safe
238338,very_close
166617,safe
228333,very_close
297004,very_close
276558,very_close
33609,close
130829,safe
251782,very_close
16301,close
99111,close
124202,safe
195627,safe
60647,close
266903,very_close
221081,very_close
31030,close
86866,close
76560,close
50220,close
228898,very_close
169549,safe
37119,close
37150,close
12047,close
113695,safe
216875,very_close
281133,very_close
21750,close
273323,very_close
85696,close
72147,close
67485,close
281744,very_close
76604,close
270263,very_close
82183,close
251028,very_close
204456,very_close
256213,very_close
132075,safe
36221,close
28710,close
155785,safe
26479,close
38758,close
283161,very_close
227007,very_close
284325,very_close
84380,close
57354,close
181898,safe
112053,safe
19663,close
19605,close
142745,safe
96338,close
141745,safe
31680,close
180422,safe
90579,close
63743,close
123104,safe
170108,safe
150445,safe
296477,very_close
255943,very_close
118225,safe
102885,safe
100994,safe
263525,very_close
100818,safe
167808,safe
210605,very_close
70479,close
230752,very_close
86806,close
238446,very_close
193536,safe
34686,close
197967,safe
55599,close
73322,close
211111,very_close
295516,very_close
79760,close
196345,safe
150593,safe
290434,very_close
267147,very_close
161868,safe
